Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/devices/{device_identifier}/analysis,20,9,30000.0,24214.953158599972,156.94140800042078,60149.47493599993,183.8,0.21818974364513874,0.09818538464031243,30000,30000,60000,60000,60000,60000,60000,60000,60000,60000,60000
POST,/devices/{device_identifier}/readings,55,16,720.0,22063.028107891016,157.36023000044952,60144.49558199976,123.47272727272727,0.6000217950241316,0.174551794916111,720,30000,31000,60000,60000,60000,60000,60000,60000,60000,60000
POST,/users,139,73,30000.0,39079.6546768345,113.8344840001082,89627.88940199971,68.12949640287769,1.5164187183337143,0.7963925643047564,30000,60000,89000,89000,90000,90000,90000,90000,90000,90000,90000
GET,/users/{user_id}/analysis,10,4,30000.0,27328.07167740002,333.66120000027877,60121.65888399977,342.6,0.10909487182256937,0.04363794872902775,30000,30000,60000,60000,60000,60000,60000,60000,60000,60000,60000
POST,/users/{user_id}/devices,53,3,400.0,5471.0368051131945,175.1057560004483,60118.69122099961,98.39622641509433,0.5782028206596177,0.03272846154677081,400,450,550,680,30000,60000,60000,60000,60000,60000,60000
,Aggregated,277,105,840.0,27772.86381455235,113.8344840001082,89627.88940199971,103.16967509025271,3.0219279494851716,1.1454961541369784,840,30000,60000,60000,89000,90000,90000,90000,90000,90000,90000
